Time [s],Channel 0
1.242812196,0
1.242812236,1
1.242812276,0
1.242812356,1
1.242812436,0
1.242812476,1
1.242812516,0
1.242812556,1
1.242812596,0
1.242812636,1
1.242812676,0
1.242812716,1
1.242812756,0
1.242812796,1
1.242812836,0
1.242812876,1
1.242812916,0
1.242812956,1
1.242812996,0
1.242813076,1
1.242813156,0
1.242813196,1
1.242813236,0
1.242813276,1
1.242813316,0
1.242813396,1
1.242813436,0
1.242813476,1
1.242813516,0
1.242813556,1
1.242813636,0
1.242813676,1
1.242813716,0
1.242813756,1
1.242813796,0
1.242813836,1
1.242813876,0
1.242813956,1
1.242814038,0
1.242814076,1
1.242814116,0
1.242814196,1
1.242814236,0
1.242814276,1
1.242814356,0
1.242814396,1
1.242814436,0
1.242814476,1
1.242814516,0
1.242814556,1
1.242814596,0
1.242814676,1
1.242814758,0
1.242814796,1
1.242814836,0
1.242814876,1
1.242814916,0
1.242814996,1
1.242815036,0
1.242815076,1
1.242815156,0
1.242815196,1
1.242815236,0
1.242815316,1
1.242815356,0
1.242815396,1
1.242815478,0
1.242815516,1
1.242815556,0
1.242815596,1
1.242815636,0
1.242815716,1
1.242815756,0
1.242815796,1
1.242815836,0
1.242815876,1
1.242815916,0
1.242815956,1
1.242815996,0
1.242816036,1
1.242816116,0
1.242816156,1
1.242816196,0
1.242816276,1
1.242816356,0
1.242816396,1
1.242816436,0
1.242816476,1
1.242816516,0
1.242816556,1
1.242816596,0
1.242816676,1
1.242816756,0
1.242816796,1
1.242816836,0
1.242816916,1
1.242816996,0
1.242817036,1
1.242817076,0
1.242817156,1
1.242817236,0
1.242817276,1
1.242817316,0
1.242817356,1
1.242817396,0
1.242817436,1
1.242817476,0
1.242817516,1
1.242817556,0
1.242817596,1
1.242817636,0
1.242817676,1
1.242817716,0
1.242817756,1
1.242817796,0
1.242817876,1
1.242817956,0
1.242817996,1
1.242818036,0
1.242818076,1
1.242818116,0
1.242818156,1
1.242818196,0
1.242818276,1
1.242818356,0
1.242818396,1
1.242818436,0
1.242818516,1
1.242818556,0
1.242818594,1
1.242818636,0
1.242818674,1
1.242818756,0
1.242818796,1
1.242818836,0
1.242818876,1
1.242818916,0
1.242818956,1
1.242818996,0
1.242819036,1
1.242819076,0
1.242819116,1
1.242819156,0
1.242819196,1
1.242819236,0
1.242819316,1
1.242819396,0
1.242819436,1
1.242819476,0
1.242819556,1
1.242819636,0
1.242819676,1
1.242819716,0
1.242819796,1
1.242819836,0
1.242819876,1
1.242819916,0
1.242819956,1
1.242819996,0
1.242820036,1
1.242820116,0
1.242820156,1
1.242820196,0
1.242820276,1
